,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,product_id,created_at,category,quantity_available,quantity_on_hand,quantity_reserved,reorder_point,optimal_stock_level,average_daily_usage,stock_status,anio,mes,dia_semana,fin_de_semana
0,0.0,0.0,0.0,0.0,0.0,PROD-001,2024-07-01,2,9,10,1,38,60,0.0,3,2024.0,7.0,0,0
1,1.0,1.0,1.0,1.0,1.0,PROD-001,2024-07-02,2,9,10,1,30,40,0.0,3,2024.0,7.0,1,0
2,2.0,2.0,2.0,2.0,2.0,PROD-001,2024-07-03,2,7,10,3,20,27,0.0,3,2024.0,7.0,2,0
3,3.0,3.0,3.0,3.0,3.0,PROD-001,2024-07-04,2,10,10,0,39,58,0.0,3,2024.0,7.0,3,0
4,4.0,4.0,4.0,4.0,4.0,PROD-001,2024-07-05,2,10,10,0,33,71,0.0,3,2024.0,7.0,4,0
5,5.0,5.0,5.0,5.0,5.0,PROD-001,2024-07-06,2,9,10,1,20,51,0.0,3,2024.0,7.0,5,1
6,6.0,6.0,6.0,6.0,6.0,PROD-001,2024-07-07,2,8,10,2,42,70,0.0,3,2024.0,7.0,6,1
7,7.0,7.0,7.0,7.0,7.0,PROD-001,2024-07-08,2,9,10,1,35,69,0.0,3,2024.0,7.0,0,0
8,8.0,8.0,8.0,8.0,8.0,PROD-001,2024-07-09,2,9,10,1,48,58,0.0,3,2024.0,7.0,1,0
9,9.0,9.0,9.0,9.0,9.0,PROD-001,2024-07-10,2,7,9,2,40,51,0.14,3,2024.0,7.0,2,0
10,10.0,10.0,10.0,10.0,10.0,PROD-001,2024-07-11,2,8,9,1,22,59,0.14,3,2024.0,7.0,3,0
11,11.0,11.0,11.0,11.0,11.0,PROD-001,2024-07-12,2,7,9,2,30,43,0.14,3,2024.0,7.0,4,0
12,12.0,12.0,12.0,12.0,12.0,PROD-001,2024-07-13,2,7,9,2,34,64,0.14,3,2024.0,7.0,5,1
13,13.0,13.0,13.0,13.0,13.0,PROD-001,2024-07-14,2,9,9,0,18,27,0.14,4,2024.0,7.0,6,1
14,14.0,14.0,14.0,14.0,14.0,PROD-001,2024-07-15,2,7,9,2,40,48,0.14,3,2024.0,7.0,0,0
15,15.0,15.0,15.0,15.0,15.0,PROD-001,2024-07-16,2,8,9,1,33,65,0.14,3,2024.0,7.0,1,0
16,16.0,16.0,16.0,16.0,16.0,PROD-001,2024-07-17,2,7,9,2,25,38,0.0,3,2024.0,7.0,2,0
17,17.0,17.0,17.0,17.0,17.0,PROD-001,2024-07-18,2,8,9,1,27,47,0.0,3,2024.0,7.0,3,0
18,18.0,18.0,18.0,18.0,18.0,PROD-001,2024-07-19,2,7,9,2,32,55,0.0,3,2024.0,7.0,4,0
19,19.0,19.0,19.0,19.0,19.0,PROD-001,2024-07-20,2,9,9,0,30,51,0.0,3,2024.0,7.0,5,1
20,20.0,20.0,20.0,20.0,20.0,PROD-001,2024-07-21,2,8,9,1,13,38,0.0,4,2024.0,7.0,6,1
21,21.0,21.0,21.0,21.0,21.0,PROD-001,2024-07-22,2,8,9,1,41,71,0.0,3,2024.0,7.0,0,0
22,22.0,22.0,22.0,22.0,22.0,PROD-001,2024-07-23,2,8,9,1,43,68,0.0,3,2024.0,7.0,1,0
23,23.0,23.0,23.0,23.0,23.0,PROD-001,2024-07-24,2,7,9,2,45,70,0.0,3,2024.0,7.0,2,0
24,24.0,24.0,24.0,24.0,24.0,PROD-001,2024-07-25,2,9,9,0,28,61,0.0,3,2024.0,7.0,3,0
25,25.0,25.0,25.0,25.0,25.0,PROD-001,2024-07-26,2,9,9,0,31,53,0.0,3,2024.0,7.0,4,0
26,26.0,26.0,26.0,26.0,26.0,PROD-001,2024-07-27,2,9,9,0,42,61,0.0,3,2024.0,7.0,5,1
27,27.0,27.0,27.0,27.0,27.0,PROD-001,2024-07-28,2,9,9,0,25,34,0.0,3,2024.0,7.0,6,1
28,28.0,28.0,28.0,28.0,28.0,PROD-001,2024-07-29,2,7,9,2,30,47,0.0,3,2024.0,7.0,0,0
29,29.0,29.0,29.0,29.0,29.0,PROD-001,2024-07-30,2,8,9,1,32,45,0.0,3,2024.0,7.0,1,0
30,30.0,30.0,30.0,30.0,30.0,PROD-001,2024-07-31,2,6,9,3,22,33,0.0,4,2024.0,7.0,2,0
31,31.0,31.0,31.0,31.0,31.0,PROD-001,2024-08-01,2,9,9,0,26,40,0.0,3,2024.0,8.0,3,0
32,32.0,32.0,32.0,32.0,32.0,PROD-001,2024-08-02,2,6,9,3,31,42,0.0,3,2024.0,8.0,4,0
33,33.0,33.0,33.0,33.0,33.0,PROD-001,2024-08-03,2,7,9,2,43,58,0.0,3,2024.0,8.0,5,1
34,34.0,34.0,34.0,34.0,34.0,PROD-001,2024-08-04,2,7,9,2,32,65,0.0,3,2024.0,8.0,6,1
35,35.0,35.0,35.0,35.0,35.0,PROD-001,2024-08-05,2,6,9,3,48,82,0.0,3,2024.0,8.0,0,0
36,36.0,36.0,36.0,36.0,36.0,PROD-001,2024-08-06,2,8,9,1,29,54,0.0,3,2024.0,8.0,1,0
37,37.0,37.0,37.0,37.0,37.0,PROD-001,2024-08-07,2,6,9,3,20,51,0.0,3,2024.0,8.0,2,0
38,38.0,38.0,38.0,38.0,38.0,PROD-001,2024-08-08,2,7,9,2,35,47,0.0,3,2024.0,8.0,3,0
39,39.0,39.0,39.0,39.0,39.0,PROD-001,2024-08-09,2,6,9,3,31,70,0.0,3,2024.0,8.0,4,0
40,40.0,40.0,40.0,40.0,40.0,PROD-001,2024-08-10,2,9,9,0,30,57,0.0,3,2024.0,8.0,5,1
41,41.0,41.0,41.0,41.0,41.0,PROD-001,2024-08-11,2,9,9,0,21,39,0.0,4,2024.0,8.0,6,1
42,42.0,42.0,42.0,42.0,42.0,PROD-001,2024-08-12,2,8,9,1,33,66,0.0,3,2024.0,8.0,0,0
43,43.0,43.0,43.0,43.0,43.0,PROD-001,2024-08-13,2,6,9,3,33,57,0.0,3,2024.0,8.0,1,0
44,44.0,44.0,44.0,44.0,44.0,PROD-001,2024-08-14,2,6,9,3,27,61,0.0,3,2024.0,8.0,2,0
45,45.0,45.0,45.0,45.0,45.0,PROD-001,2024-08-15,2,6,9,3,48,69,0.0,3,2024.0,8.0,3,0
46,46.0,46.0,46.0,46.0,46.0,PROD-001,2024-08-16,2,6,9,3,31,43,0.0,3,2024.0,8.0,4,0
47,47.0,47.0,47.0,47.0,47.0,PROD-001,2024-08-17,2,6,6,0,36,46,0.43,3,2024.0,8.0,5,1
48,48.0,48.0,48.0,48.0,48.0,PROD-001,2024-08-18,2,5,6,1,17,32,0.43,3,2024.0,8.0,6,1
